Happy,Angry,Surprise,Sad,Fear,emotion
0.0,0.0,0.0,1.0,0.0,sad
0.11000000000000001,0.11000000000000001,0.15500000000000003,0.145,0.48,fear
0.07277777777777777,0.015000000000000001,0.07888888888888888,0.16055555555555553,0.39444444444444443,fear
0.0675,0.1125,0.1575,0.15,0.5125,fear
0.03,0.03,0.13,0.54,0.28,sad
0.33,0.0,0.0,0.33,0.33,happy
0.06,0.0,0.18,0.29,0.47,fear
0.0,0.0,0.0,0.6,0.4,sad
0.0,0.0,0.0,0.0,0.6666666666666666,fear
0.23,0.0,0.085,0.29000000000000004,0.4,fear
0.08666666666666667,0.06666666666666667,0.12,0.19666666666666666,0.5299999999999999,fear
0.07,0.05,0.07,0.35,0.45,fear
0.25,0.0,0.0,0.25,0.5,fear
0.0,0.0,0.07,0.0,0.9299999999999999,fear
0.15,0.04,0.15,0.31,0.35,fear
0.0,0.0,0.0,0.0,0.0,happy
0.0,0.0,0.0,0.0,0.0,happy
0.065,0.0,0.26,0.135,0.54,fear
0.0,0.0,0.18,0.09,0.73,fear
0.0,0.0,0.0,0.0,0.0,happy
0.11666666666666665,0.018333333333333333,0.021666666666666667,0.11333333333333334,0.565,fear
0.0,0.0,0.0,0.27,0.73,fear
0.045,0.045,0.0,0.19,0.72,fear
0.055,0.0,0.07,0.105,0.775,fear
0.13,0.0,0.13,0.27,0.47,fear
1.0,0.0,0.0,0.0,0.0,happy
0.2,0.03,0.1,0.27,0.4,fear
0.05,0.11,0.21,0.37,0.26,sad
0.0,0.0,0.0,0.67,0.33,sad
0.0,0.09,0.09,0.27,0.55,fear
0.0,0.0,0.0,0.5,0.5,sad
0.19,0.065,0.065,0.26,0.41500000000000004,fear
0.0,0.0,0.0,0.33,0.67,fear
0.08,0.1,0.18,0.28,0.36,fear
0.0,0.0,0.0,0.2,0.3,fear
0.0,0.0,0.09,0.14,0.77,fear
0.0,0.0,0.25,0.125,0.625,fear
0.15,0.08,0.15,0.31,0.31,sad
0.0,0.0,0.0,0.4,0.6,fear
0.0,0.1,0.0,0.1,0.3,fear
0.0,0.0,0.0,0.5,0.5,sad
0.12,0.12,0.12,0.12,0.5,fear
0.0,0.0,0.25,0.5,0.25,sad
0.07,0.02,0.18,0.38,0.35,sad
0.07,0.0,0.27,0.2,0.47,fear
0.1,0.0,0.23,0.21,0.46,fear
0.0,0.0,0.0,0.5,0.5,sad
0.085,0.02,0.02,0.165,0.21,fear
0.06,0.28,0.33,0.11,0.22,surprise
0.18,0.0,0.08499999999999999,0.25,0.48,fear
0.0,0.0,0.05666666666666667,0.44333333333333336,0.5,fear
0.14,0.0,0.14,0.0,0.71,fear
0.2,0.1,0.1,0.2,0.4,fear
0.0,0.0,0.5,0.5,0.0,surprise
0.09,0.0,0.11,0.14,0.66,fear
0.28,0.11,0.0,0.44,0.17,sad
0.0,0.0,0.065,0.35,0.585,fear
0.0,0.33,0.33,0.0,0.33,angry
0.07142857142857142,0.07142857142857142,0.42857142857142855,0.07142857142857142,0.35714285714285715,surprise
